Gene stable ID	Transcript stable ID	Protein stable ID	NCBI gene (formerly Entrezgene) ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	Gene name	RefSeq peptide ID
YKL140W	YKL140W_mRNA	YKL140W	853717	P34163		TGL1	NP_012782.1	
YPR115W	YPR115W_mRNA	YPR115W	856231	Q06108		RGC1	NP_015440.1	
YOR163W	YOR163W_mRNA	YOR163W	854334	Q99321		DDP1	NP_014806.1	
YMR283C	YMR283C_mRNA	YMR283C	855326	P23796		RIT1	NP_014010.1	
YKL007W	YKL007W_mRNA	YKL007W	853862	P28495		CAP1	NP_012918.1	
YNL024C-A	YNL024C-A_mRNA	YNL024C-A	1466516	Q8TGJ3		KSH1	NP_878158.3	
YDL149W	YDL149W_mRNA	YDL149W	851406	Q12142		ATG9	NP_010132.1	
YLR101C	YLR101C_mRNA	YLR101C		Q08027				
YGR252W	YGR252W_mRNA	YGR252W	853167	Q03330		GCN5	NP_011768.1	
YOR029W	YOR029W_mRNA	YOR029W		Q12243				
YLR341W	YLR341W_mRNA	YLR341W	851054	Q06134		SPO77	NP_013445.1	
YDR231C	YDR231C_mRNA	YDR231C	851817	Q04935		COX20	NP_010517.1	
YDR045C	YDR045C_mRNA	YDR045C	851615	Q04307		RPC11	NP_010330.1	
YPL184C	YPL184C_mRNA	YPL184C	855917	Q08925		MRN1	NP_015140.1	
YPR111W	YPR111W_mRNA	YPR111W	856227	P32328		DBF20	NP_015436.1	
YPR203W	YPR203W_mRNA	YPR203W	856333	Q08994			NP_015529.1	
YGL106W	YGL106W_mRNA	YGL106W	852772	P53141		MLC1	NP_011409.1	
YOL042W	YOL042W_mRNA	YOL042W	854115	Q08213		NGL1	NP_014600.1	
YPR189W	YPR189W_mRNA	YPR189W	856319	P17883		SKI3	NP_015515.1	
YKL051W	YKL051W_mRNA	YKL051W	853815	P35735		SFK1	NP_012873.1	
YGR284C	YGR284C_mRNA	YGR284C	853201	P53337		ERV29	NP_011800.3	
YML078W	YML078W_mRNA	YML078W	854897	P25719		CPR3	NP_013633.1	
YOR316C	YOR316C_mRNA	YOR316C	854494	P32798		COT1	NP_014961.3	
YOR326W	YOR326W_mRNA	YOR326W	854504	P19524		MYO2	NP_014971.1	
YLL054C	YLL054C_mRNA	YLL054C	850672	Q12244			NP_013046.2	
YOR293C-A	YOR293C-A_mRNA	YOR293C-A	1466486	Q3E7Y7			NP_878174.3	
YCR032W	YCR032W_mRNA	YCR032W	850398	P25356		BPH1	NP_009961.2	
YAR018C	YAR018C_mRNA	YAR018C	851273	P22209		KIN3	NP_009410.1	
YMR142C	YMR142C_mRNA	YMR142C	855173	P40212		RPL13B	NP_013862.1	
YOL036W	YOL036W_mRNA	YOL036W	854120	Q08206			NP_014606.1	
YGR032W	YGR032W_mRNA	YGR032W	852920	P40989		GSC2	NP_011546.3	
YOR072W-B	YOR072W-B_mRNA	YOR072W-B	1466483	Q3E832			NP_878171.1	
YKL022C	YKL022C_mRNA	YKL022C	853846	P09798		CDC16	NP_012903.1	
YIL070C	YIL070C_mRNA	YIL070C	854740	P40513		MAM33	NP_012194.1	
YPR034W	YPR034W_mRNA	YPR034W	856146	Q12406		ARP7	NP_015359.1	
YPL189W	YPL189W_mRNA	YPL189W	855912	Q08929		GUP2	NP_015135.1	
YJL172W	YJL172W_mRNA	YJL172W	853267	P27614		CPS1	NP_012363.1	
YOR332W	YOR332W_mRNA	YOR332W	854509	P22203		VMA4	NP_014977.3	
YMR203W	YMR203W_mRNA	YMR203W	855243	P23644		TOM40	NP_013930.1	
YDL075W	YDL075W_mRNA	YDL075W	851484	P0C2H8		RPL31A	NP_010208.1	
YEL076C	YEL076C_mRNA	YEL076C	856633	P39971			NP_010837.1	
YNL334C	YNL334C_mRNA	YNL334C	855382	P53823		SNO2	NP_014065.1	
YMR077C	YMR077C_mRNA	YMR077C	855101	Q04272		VPS20	NP_013794.1	
YOL002C	YOL002C_mRNA	YOL002C	854160	Q12442		IZH2	NP_014641.2	
YKL021C	YKL021C_mRNA	YKL021C				MAK11		
YDR415C	YDR415C_mRNA	YDR415C	852024	Q04033			NP_010703.1	
YNL319W	YNL319W_mRNA	YNL319W		P53826				
YNL295W	YNL295W_mRNA	YNL295W	855421	P48564		MRX6	NP_014104.1	
YDR339C	YDR339C_mRNA	YDR339C	851939	Q05498		FCF1	NP_010626.1	
YEL018C-A	YEL018C-A_mRNA	YEL018C-A		A0A023PYD9				
YGR174C	YGR174C_mRNA	YGR174C				CBP4		
YMR245W	YMR245W_mRNA	YMR245W		Q04019				
YJR114W	YJR114W_mRNA	YJR114W		P47151				
YPL246C	YPL246C_mRNA	YPL246C	855830	Q12270		RBD2	NP_015078.1	
YNL192W	YNL192W_mRNA	YNL192W	855529	P08004		CHS1	NP_014207.2	
YDL213C	YDL213C_mRNA	YDL213C	851313	Q07623		NOP6	NP_010068.1	
YKL148C	YKL148C_mRNA	YKL148C	853709	Q00711		SDH1	NP_012774.1	
YCL059C	YCL059C_mRNA	YCL059C	850298	P25586		KRR1	NP_009872.1	
YHR086W-A	YHR086W-A_mRNA	YHR086W-A	1466529	Q3E746			NP_878089.1	
YLR186W	YLR186W_mRNA	YLR186W	850883	Q06287		EMG1	NP_013287.1	
YOR193W	YOR193W_mRNA	YOR193W	854368	Q08580		PEX27	NP_014836.3	
YJL093C	YJL093C_mRNA	YJL093C	853352	P40310		TOK1	NP_012442.1	
YJL163C	YJL163C_mRNA	YJL163C	853276	P46996			NP_012372.1	
YJR153W	YJR153W_mRNA	YJR153W	853618	P47180		PGU1	NP_012687.3	
YMR284W	YMR284W_mRNA	YMR284W	855328	P32807		YKU70	NP_014011.1	
YBR101C	YBR101C_mRNA	YBR101C	852397	P38260		FES1	NP_009659.3	
YMR089C	YMR089C_mRNA	YMR089C	855114	P40341		YTA12	NP_013807.1	
YER072W	YER072W_mRNA	YER072W	856803	P40046		VTC1	NP_010995.1	
YJL179W	YJL179W_mRNA	YJL179W	853260	P46988		PFD1	NP_012356.2	
YNL149C	YNL149C_mRNA	YNL149C	855573	P53903		PGA2	NP_014250.1	
YGR208W	YGR208W_mRNA	YGR208W	853122	P42941		SER2	NP_011724.1	
YHR141C	YHR141C_mRNA	YHR141C	855560	P0CX27		RPL42B	NP_012010.1	
YHR141C	YHR141C_mRNA	YHR141C	856544	P0CX27		RPL42B	NP_012010.1	
YHR141C	YHR141C_mRNA	YHR141C	855560	P0CX28		RPL42B	NP_012010.1	
YHR141C	YHR141C_mRNA	YHR141C	856544	P0CX28		RPL42B	NP_012010.1	
YHR170W	YHR170W_mRNA	YHR170W	856575	P38861		NMD3	NP_012040.1	
YDR096W	YDR096W_mRNA	YDR096W	851670	Q03833		GIS1	NP_010381.1	
YPL020C	YPL020C_mRNA	YPL020C	856087	Q02724		ULP1	NP_015305.1	
YER093C	YER093C_mRNA	YER093C	856828	P40061		TSC11	NP_011018.1	
YGL016W	YGL016W_mRNA	YGL016W	852868	P32767		KAP122	NP_011499.1	
YLR143W	YLR143W_mRNA	YLR143W	850835	Q12429		DPH6	NP_013244.1	
YNL071W	YNL071W_mRNA	YNL071W	855653	P12695		LAT1	NP_014328.3	
YKL038W	YKL038W_mRNA	YKL038W	853828	P32862		RGT1	NP_012886.3	
YLR368W	YLR368W_mRNA	YLR368W	851083	Q05930		MDM30	NP_013472.3	
YGR255C	YGR255C_mRNA	YGR255C	853170	P53318		COQ6	NP_011771.1	
YLR393W	YLR393W_mRNA	YLR393W	851109	P18496		ATP10	NP_013497.1	
YDL019C	YDL019C_mRNA	YDL019C	851543	Q12451		OSH2	NP_010265.1	
YDL022W	YDL022W_mRNA	YDL022W	851539	Q00055		GPD1	NP_010262.1	
YHL021C	YHL021C_mRNA	YHL021C	856365	P23180		AIM17	NP_011842.1	
YCR079W	YCR079W_mRNA	YCR079W	850441	P25646		PTC6	NP_010003.2	
YOR243C	YOR243C_mRNA	YOR243C	854417	Q08647		PUS7	NP_014886.1	
YOR126C	YOR126C_mRNA	YOR126C	854293	P41734		IAH1	NP_014769.3	
YDR413C	YDR413C_mRNA	YDR413C		P87266				
YDR391C	YDR391C_mRNA	YDR391C	852000	Q04170			NP_010679.3	
YJR080C	YJR080C_mRNA	YJR080C	853543	P47127		AIM24	NP_012614.1	
YMR134W	YMR134W_mRNA	YMR134W	855164	P40207		ERG29	NP_013853.1	
YNL089C	YNL089C_mRNA	YNL089C		P53936				
YOR070C	YOR070C_mRNA	YOR070C	854236	Q08484		GYP1	NP_014713.1	
YKL125W	YKL125W_mRNA	YKL125W	853734	P36070		RRN3	NP_012797.1	
YOR328W	YOR328W_mRNA	YOR328W	854506	P51533		PDR10	NP_014973.1	
YLR176C	YLR176C_mRNA	YLR176C	850873	P48743		RFX1	NP_013277.1	
YNL308C	YNL308C_mRNA	YNL308C	855408	P42846		KRI1	NP_014091.1	
YAL069W	YAL069W_mRNA	YAL069W		O13588				
YGR146C-A	YGR146C-A_mRNA	YGR146C-A	1466459	Q8TGT9			NP_878079.1	
YJL037W	YJL037W_mRNA	YJL037W	853414	P47056		IRC18	NP_012497.3	
YDR091C	YDR091C_mRNA	YDR091C	851665	Q03195		RLI1	NP_010376.3	
YHR078W	YHR078W_mRNA	YHR078W	856477	P38799			NP_011945.1	
YGL194C	YGL194C_mRNA	YGL194C	852681	P53096		HOS2	NP_011321.1	
YJL104W	YJL104W_mRNA	YJL104W	853340	P42949		PAM16	NP_012431.1	
YAL063C	YAL063C_mRNA	YAL063C	851236	P39712		FLO9	NP_009338.1	
YPL255W	YPL255W_mRNA	YPL255W	855820	Q12365		BBP1	NP_015068.1	
Q0017	Q0017_mRNA	Q0017		Q9ZZX8				
YER178W	YER178W_mRNA	YER178W	856925	P16387		PDA1	NP_011105.4	
YNL239W	YNL239W_mRNA	YNL239W				LAP3	NP_014160.2	
YMR290W-A	YMR290W-A_mRNA	YMR290W-A		A0A023PZH5				
YJL050W	YJL050W_mRNA	YJL050W	853397	P47047		MTR4	NP_012485.1	
YHR007C-A	YHR007C-A_mRNA	YHR007C-A	1466526	Q07074			NP_878086.1	
YLR126C	YLR126C_mRNA	YLR126C	850817	Q12288			NP_013227.1	
YLR099W-A	YLR099W-A_mRNA	YLR099W-A	850789	Q3E798		MIM2	NP_076901.1	
YPL196W	YPL196W_mRNA	YPL196W	855905	Q08952		OXR1	NP_015128.1	
YPR135W	YPR135W_mRNA	YPR135W	856254	Q01454		CTF4	NP_015461.1	
YGL138C	YGL138C_mRNA	YGL138C	852739	P53122			NP_011377.1	
YHL044W	YHL044W_mRNA	YHL044W	856341	P38727			NP_011819.1	
YER030W	YER030W_mRNA	YER030W	856752	P40019		CHZ1	NP_010947.2	
YDR240C	YDR240C_mRNA	YDR240C	851827	Q03782		SNU56	NP_010526.1	
YGR091W	YGR091W_mRNA	YGR091W	852983	P49704		PRP31	NP_011605.1	
YFR029W	YFR029W_mRNA	YFR029W	850587	P43606		PTR3	NP_116685.1	
YKL048C	YKL048C_mRNA	YKL048C	853818	P32801		ELM1	NP_012876.1	
YOL056W	YOL056W_mRNA	YOL056W	854098	Q12326		GPM3	NP_014585.1	
YPR044C	YPR044C_mRNA	YPR044C		A0A023PZI1		OPI11		
YOR098C	YOR098C_mRNA	YOR098C	854265	P20676		NUP1	NP_014741.1	
YJL002C	YJL002C_mRNA	YJL002C	853455	P41543		OST1	NP_012532.3	
YNL275W	YNL275W_mRNA	YNL275W	855446	P53838		BOR1	NP_014124.1	
YDL244W	YDL244W_mRNA	YDL244W	851353	Q07748		THI13	NP_010037.1	
YDR179C	YDR179C_mRNA	YDR179C	851759	Q03981		CSN9	NP_010464.1	
YPL061W	YPL061W_mRNA	YPL061W	856044	P54115		ALD6	NP_015264.1	
YDL165W	YDL165W_mRNA	YDL165W	851389	P06100		CDC36	NP_010116.1	
YGR200C	YGR200C_mRNA	YGR200C	853114	P42935		ELP2	NP_011716.3	
YDL140C	YDL140C_mRNA	YDL140C	851415	P04050		RPO21	NP_010141.1	
YJR084W	YJR084W_mRNA	YJR084W	853546	P47130			NP_012617.1	
YMR095C	YMR095C_mRNA	YMR095C	855120	Q03144		SNO1	NP_013813.1	
YDR120C	YDR120C_mRNA	YDR120C	851698	P15565		TRM1	NP_010405.3	
YDR003W	YDR003W_mRNA	YDR003W	851566	Q03446		RCR2	NP_010286.3	
YOL110W	YOL110W_mRNA	YOL110W	854039	P41912		SHR5	NP_014531.1	
YGR191W	YGR191W_mRNA	YGR191W	853104	P06775		HIP1	NP_011707.1	
YNR071C	YNR071C_mRNA	YNR071C	855808	P53757			NP_014469.1	
YOR213C	YOR213C_mRNA	YOR213C	854388	Q99314		SAS5	NP_014856.1	
YJL220W	YJL220W_mRNA	YJL220W		A0A023PXN9				
YJL220W	YJL220W_mRNA	YJL220W		P40891				
YGR270C-A	YGR270C-A_mRNA	YGR270C-A		Q8TGN7				
YJR034W	YJR034W_mRNA	YJR034W	853491	Q02772		PET191	NP_012568.1	
YHR214W-A	YHR214W-A_mRNA	YHR214W-A		O13534				
YOR253W	YOR253W_mRNA	YOR253W	854427	Q08689		NAT5	NP_014896.3	
YBL010C	YBL010C_mRNA	YBL010C	852273	P32788			NP_009543.1	
YLR423C	YLR423C_mRNA	YLR423C	851142	Q06410		ATG17	NP_013527.3	
YKL053W	YKL053W_mRNA	YKL053W		P35733				
YJR019C	YJR019C_mRNA	YJR019C	853477	P41903		TES1	NP_012553.3	
YLR357W	YLR357W_mRNA	YLR357W	851071	Q06488		RSC2	NP_013461.1	
YOR008C-A	YOR008C-A_mRNA	YOR008C-A	854171	Q3E7B9			NP_014651.1	
YHR161C	YHR161C_mRNA	YHR161C	856566	P38856		YAP1801	NP_012031.1	
YBR053C	YBR053C_mRNA	YBR053C	852342	P38235			NP_009609.1	
YBL059C-A	YBL059C-A_mRNA	YBL059C-A	852220	Q3E7A4		CMC2	NP_031358.1	
YPL238C	YPL238C_mRNA	YPL238C		Q99401				
YLR197W	YLR197W_mRNA	YLR197W	850894	Q12460		NOP56	NP_013298.1	
YOL113W	YOL113W_mRNA	YOL113W	854036	Q12469		SKM1	NP_014528.1	
YPL052W	YPL052W_mRNA	YPL052W	856055	Q02803		OAZ1	NP_015273.2	
YHR074W	YHR074W_mRNA	YHR074W	856473	P38795		QNS1	NP_011941.1	
YKR093W	YKR093W_mRNA	YKR093W	853968	P32901		PTR2	NP_013019.1	
YFL003C	YFL003C_mRNA	YFL003C	850545	P40965		MSH4	NP_116652.1	
YHR164C	YHR164C_mRNA	YHR164C	856569	P38859		DNA2	NP_012034.1	
YPR112C	YPR112C_mRNA	YPR112C	856228	Q06106		MRD1	NP_015437.1	
YGL227W	YGL227W_mRNA	YGL227W	852624	P53076		VID30	NP_011287.1	
YDR499W	YDR499W_mRNA	YDR499W	852110	Q04377		LCD1	NP_010787.3	
YOR060C	YOR060C_mRNA	YOR060C	854226	Q08457		SLD7	NP_014703.1	
YER128W	YER128W_mRNA	YER128W	856865	P40080		VFA1	NP_011054.3	
YLR187W	YLR187W_mRNA	YLR187W	850884	Q06315		SKG3	NP_013288.1	
YJR093C	YJR093C_mRNA	YJR093C	853555	P45976		FIP1	NP_012626.1	
YKL201C	YKL201C_mRNA	YKL201C	853634	P36044		MNN4	NP_012721.1	
YPL186C	YPL186C_mRNA	YPL186C	855916	Q08926		UIP4	NP_015138.1	
YCR021C	YCR021C_mRNA	YCR021C	850385	P25619		HSP30	NP_009950.1	
YOL076W	YOL076W_mRNA	YOL076W	854079	Q12387		MDM20	NP_014566.1	
YOR186C-A	YOR186C-A_mRNA	YOR186C-A		Q8TGL3				
YPR148C	YPR148C_mRNA	YPR148C	856271	Q06523			NP_015474.1	
YBR255C-A	YBR255C-A_mRNA	YBR255C-A	852558	Q3E776		RCF3	NP_116328.4	
YGR081C	YGR081C_mRNA	YGR081C	852972	P53251		SLX9	NP_011595.3	
YJL201W	YJL201W_mRNA	YJL201W	853229	P32525		ECM25	NP_012334.1	
YGL243W	YGL243W_mRNA	YGL243W	852608	P53065		TAD1	NP_011271.1	
YJL161W	YJL161W_mRNA	YJL161W	853279	P46998		FMP33	NP_012374.1	
YGL194C-A	YGL194C-A_mRNA	YGL194C-A	3799973	Q2V2P6			NP_001032578.1	
YGR148C	YGR148C_mRNA	YGR148C	853051	P24000		RPL24B	NP_011664.3	
YDR166C	YDR166C_mRNA	YDR166C	851744	P89102		SEC5	NP_010450.3	
YDL092W	YDL092W_mRNA	YDL092W	851466	P38985		SRP14	NP_010191.1	
YKL123W	YKL123W_mRNA	YKL123W		P36071				
YMR099C	YMR099C_mRNA	YMR099C	855125	Q03161			NP_013817.1	
YFR041C	YFR041C_mRNA	YFR041C	850602	P43613		ERJ5	NP_116699.3	
YJR021C	YJR021C_mRNA	YJR021C	853478	P21651		REC107	NP_012555.1	
YMR132C	YMR132C_mRNA	YMR132C	855162	P40206		JLP2	NP_013851.1	
YFL059W	YFL059W_mRNA	YFL059W	850485	P43545		SNZ3	NP_116596.1	
YGL136C	YGL136C_mRNA	YGL136C	852741	P53123		MRM2	NP_011379.1	
YDL041W	YDL041W_mRNA	YDL041W		Q12352				
YHL006W-A	YHL006W-A_mRNA	YHL006W-A		A0A023PXE5				
YBL042C	YBL042C_mRNA	YBL042C	852238	P38196		FUI1	NP_009511.1	
YBL039C	YBL039C_mRNA	YBL039C	852241	P28274		URA7	NP_009514.1	
YFL062W	YFL062W_mRNA	YFL062W	850482	P43542		COS4	NP_116593.1	
YGR276C	YGR276C_mRNA	YGR276C	853193	P53331		RNH70	NP_011792.1	
YKL224C	YKL224C_mRNA	YKL224C	853656	P35994		PAU16	NP_012698.1	
YPL280W	YPL280W_mRNA	YPL280W	855849	Q08992		HSP32	NP_015043.1	
YML115C	YML115C_mRNA	YML115C	854925	P23642		VAN1	NP_013592.1	
YJL070C	YJL070C_mRNA	YJL070C	853375	P40361			NP_012465.3	
YIL051C	YIL051C_mRNA	YIL051C	854760	P40185		MMF1	NP_012213.3	
YPR143W	YPR143W_mRNA	YPR143W	856264	Q06511		RRP15	NP_015469.1	
YCL026C-A	YCL026C-A_mRNA	YCL026C-A	850332	P37261		FRM2	NP_009904.2	
YKL077W	YKL077W_mRNA	YKL077W	853785	P36081			NP_012846.1	
YPL261C	YPL261C_mRNA	YPL261C		Q08976				
YBR217W	YBR217W_mRNA	YBR217W	852518	P38316		ATG12	NP_009776.1	
YMR086W	YMR086W_mRNA	YMR086W	855110	Q04279		SEG1	NP_013803.1	
YHR204W	YHR204W_mRNA	YHR204W	856611	P38888		MNL1	NP_012074.3	
YGL129C	YGL129C_mRNA	YGL129C	852748	Q01163		RSM23	NP_011386.2	
YBR200W-A	YBR200W-A_mRNA	YBR200W-A	1466449	Q3E755			NP_878053.1	
YOR381W	YOR381W_mRNA	YOR381W	854563	Q08905		FRE3	NP_015026.1	
YNL226W	YNL226W_mRNA	YNL226W		P53864				
YNL040W	YNL040W_mRNA	YNL040W	855688	P53960			NP_014358.3	
YNL117W	YNL117W_mRNA	YNL117W	855606	P30952		MLS1	NP_014282.1	
YLL034C	YLL034C_mRNA	YLL034C	850625	Q07844		RIX7	NP_013066.1	
YLL023C	YLL023C_mRNA	YLL023C	850637	Q12164		POM33	NP_013077.1	
YBL003C	YBL003C_mRNA	YBL003C	852283	P04912		HTA2	NP_009552.1	
YKR103W	YKR103W_mRNA	YKR103W	853978	P0CE68		NFT1	NP_013029.3	
YDL241W	YDL241W_mRNA	YDL241W	851356	Q07738			NP_010040.1	
YDL082W	YDL082W_mRNA	YDL082W	851477	Q12690		RPL13A	NP_010201.1	
YLR065C	YLR065C_mRNA	YLR065C	850754	Q99382		ENV10	NP_013166.1	
YIL118W	YIL118W_mRNA	YIL118W	854688	Q00245		RHO3	NP_012148.1	
YFR026C	YFR026C_mRNA	YFR026C	850583	P43604		ULI1	NP_116682.3	
YOR113W	YOR113W_mRNA	YOR113W	854280	P41696		AZF1	NP_014756.3	
YFL014W	YFL014W_mRNA	YFL014W	850532	P22943		HSP12	NP_116640.1	
YLL031C	YLL031C_mRNA	YLL031C	850628	Q07830		GPI13	NP_013069.1	
YLR419W	YLR419W_mRNA	YLR419W	851137	Q06698			NP_013523.3	
YNL050C	YNL050C_mRNA	YNL050C	855677	P53952			NP_014348.3	
YPL034W	YPL034W_mRNA	YPL034W	856072	Q03083			NP_015291.1	
YGR053C	YGR053C_mRNA	YGR053C	852944	P53234			NP_011567.3	
YGR069W	YGR069W_mRNA	YGR069W		P53245				
YNL086W	YNL086W_mRNA	YNL086W	855638	P48232		SNN1	NP_014313.1	
YHL002C-A	YHL002C-A_mRNA	YHL002C-A		A0A023PYG1				
YDR277C	YDR277C_mRNA	YDR277C	851870	P35198		MTH1	NP_010563.3	
YDR291W	YDR291W_mRNA	YDR291W	851885	Q05549		HRQ1	NP_010577.3	
YER003C	YER003C_mRNA	YER003C	856720	P29952		PMI40	NP_010918.1	
YGL224C	YGL224C_mRNA	YGL224C	852648	P53078		SDT1	NP_011291.1	
YMR044W	YMR044W_mRNA	YMR044W	855061	Q04213		IOC4	NP_013758.1	
YLR149C-A	YLR149C-A_mRNA	YLR149C-A		P0C5P8				
YNL017C	YNL017C_mRNA	YNL017C		P53977				
YGL193C	YGL193C_mRNA	YGL193C	852682	P53097			NP_011322.1	
YNR070W	YNR070W_mRNA	YNR070W	855807	P53756		PDR18	NP_014468.3	
YIL097W	YIL097W_mRNA	YIL097W	854710	P40492		FYV10	NP_012169.1	
YOR273C	YOR273C_mRNA	YOR273C	854447	Q12256		TPO4	NP_014916.1	
YPL116W	YPL116W_mRNA	YPL116W	855987	Q02959		HOS3	NP_015209.1	
YNR067C	YNR067C_mRNA	YNR067C	855804	P53753		DSE4	NP_014465.1	
YPL131W	YPL131W_mRNA	YPL131W	855972	P26321		RPL5	NP_015194.1	
YDR475C	YDR475C_mRNA	YDR475C	852086	Q03361		JIP4	NP_010763.2	
YHL030W-A	YHL030W-A_mRNA	YHL030W-A		A0A023PZD5				
YGL020C	YGL020C_mRNA	YGL020C	852864	P53192		GET1	NP_011495.1	
YKR104W	YKR104W_mRNA	YKR104W	853979	P0CE69			NP_013030.1	
YDR244W	YDR244W_mRNA	YDR244W	851831	P35056		PEX5	NP_010530.1	
YDR407C	YDR407C_mRNA	YDR407C	852016	Q04183		TRS120	NP_010695.1	
YLR294C	YLR294C_mRNA	YLR294C		O13543				
YDR382W	YDR382W_mRNA	YDR382W	851990	P02400		RPP2B	NP_010670.3	
Q0144	Q0144_mRNA	Q0144		Q9ZZW2				
YNL305C	YNL305C_mRNA	YNL305C	855411	P48558		BXI1	NP_014094.1	
YCL046W	YCL046W_mRNA	YCL046W		P25575				
YBR069C	YBR069C_mRNA	YBR069C	852361	P38085		TAT1	NP_009625.1	
YER163C	YER163C_mRNA	YER163C	856910	P32656		GCG1	NP_011090.3	
YPR017C	YPR017C_mRNA	YPR017C	856128	P32601		DSS4	NP_015342.1	
YGL177W	YGL177W_mRNA	YGL177W		P53105				
YLR405W	YLR405W_mRNA	YLR405W	851121	Q06063		DUS4	NP_013509.1	
YGL189C	YGL189C_mRNA	YGL189C	852686	P39938		RPS26A	NP_011326.1	
YDR102C	YDR102C_mRNA	YDR102C		Q03864				
YBR056W-A	YBR056W-A_mRNA	YBR056W-A	1466443	I2HB52			NP_001257668.1	
YMR222C	YMR222C_mRNA	YMR222C	855262	Q05015		FSH2	NP_013949.1	
YJL029C	YJL029C_mRNA	YJL029C	853423	P47061		VPS53	NP_012505.1	
YCR104W	YCR104W_mRNA	YCR104W	850468	P25610		PAU3	NP_010029.1	
YDL188C	YDL188C_mRNA	YDL188C	851339	P23595		PPH22	NP_010093.1	
YGR122W	YGR122W_mRNA	YGR122W	853020	P53272			NP_011637.3	
YNL015W	YNL015W_mRNA	YNL015W	855717	P0CT04		PBI2	NP_014383.1	
YKR024C	YKR024C_mRNA	YKR024C	853894	P36120		DBP7	NP_012949.1	
YGL003C	YGL003C_mRNA	YGL003C	852881	P53197		CDH1	NP_011512.1	
YPL012W	YPL012W_mRNA	YPL012W	856095	Q12754		RRP12	NP_015313.1	
YAL046C	YAL046C_mRNA	YAL046C	851251	P39724		BOL3	NP_009353.1	
YJR010W	YJR010W_mRNA	YJR010W	853466	P08536		MET3	NP_012543.3	
YDR405W	YDR405W_mRNA	YDR405W	852014	P32387		MRP20	NP_010693.3	
YNL146C-A	YNL146C-A_mRNA	YNL146C-A	1466510	Q3E7Z1			NP_878152.1	
YCL001W	YCL001W_mRNA	YCL001W	850354	P25560		RER1	NP_009925.1	
YOR161W-A	YOR161W-A_mRNA	YOR161W-A		Q8TGL5				
YHR163W	YHR163W_mRNA	YHR163W	856568	P38858		SOL3	NP_012033.2	
YDR443C	YDR443C_mRNA	YDR443C	852053	P38931		SSN2	NP_010731.3	
YDR059C	YDR059C_mRNA	YDR059C	851631	P15732		UBC5	NP_010344.1	
YJR151W-A	YJR151W-A_mRNA	YJR151W-A	1466471	Q3E775			NP_878108.1	
YDR144C	YDR144C_mRNA	YDR144C	851722	P53379		MKC7	NP_010428.3	
YDL157C	YDL157C_mRNA	YDL157C	851398	Q12082			NP_010124.1	
YBR009C	YBR009C_mRNA	YBR009C	852294	P02309		HHF1	NP_014368.1	
YBR009C	YBR009C_mRNA	YBR009C	855701	P02309		HHF1	NP_014368.1	
YFL066C	YFL066C_mRNA	YFL066C	850478	P43538			NP_116589.1	
YOL147C	YOL147C_mRNA	YOL147C	854018	Q12462		PEX11	NP_014494.1	
YMR272W-A	YMR272W-A_mRNA	YMR272W-A		Q8TGM0				
YOR338W	YOR338W_mRNA	YOR338W	854516	Q99326			NP_014983.1	
YIR034C	YIR034C_mRNA	YIR034C	854852	P38998		LYS1	NP_012300.3	
YEL005C	YEL005C_mRNA	YEL005C	856713	P40003		VAB2	NP_010911.3	
YIL109C	YIL109C_mRNA	YIL109C	854697	P40482		SEC24	NP_012157.3	
YDL058W	YDL058W_mRNA	YDL058W	851501	P25386		USO1	NP_010225.1	
YDL096C	YDL096C_mRNA	YDL096C		Q07521		OPI6		
YJR144W	YJR144W_mRNA	YJR144W	853609	P32787		MGM101	NP_012678.1	
YLR157C-C	YLR157C-C_mRNA	YLR157C-C	1466410	P0CY05			NP_878122.1	
YLR157C-C	YLR157C-C_mRNA	YLR157C-C	1466411	P0CY05			NP_878122.1	
YLR157C-C	YLR157C-C_mRNA	YLR157C-C	1466415	P0CY05			NP_878122.1	
YLR157C-C	YLR157C-C_mRNA	YLR157C-C	1466414	P0CY05			NP_878122.1	
YLR157C-C	YLR157C-C_mRNA	YLR157C-C	1466410	P0CY02			NP_878122.1	
YLR157C-C	YLR157C-C_mRNA	YLR157C-C	1466411	P0CY02			NP_878122.1	
YLR157C-C	YLR157C-C_mRNA	YLR157C-C	1466415	P0CY02			NP_878122.1	
YLR157C-C	YLR157C-C_mRNA	YLR157C-C	1466414	P0CY02			NP_878122.1	
YLR157C-C	YLR157C-C_mRNA	YLR157C-C	1466410	P0CY04			NP_878122.1	
YLR157C-C	YLR157C-C_mRNA	YLR157C-C	1466411	P0CY04			NP_878122.1	
YLR157C-C	YLR157C-C_mRNA	YLR157C-C	1466415	P0CY04			NP_878122.1	
YLR157C-C	YLR157C-C_mRNA	YLR157C-C	1466414	P0CY04			NP_878122.1	
YLR157C-C	YLR157C-C_mRNA	YLR157C-C	1466410	P0CY03			NP_878122.1	
YLR157C-C	YLR157C-C_mRNA	YLR157C-C	1466411	P0CY03			NP_878122.1	
YLR157C-C	YLR157C-C_mRNA	YLR157C-C	1466415	P0CY03			NP_878122.1	
YLR157C-C	YLR157C-C_mRNA	YLR157C-C	1466414	P0CY03			NP_878122.1	
YGR210C	YGR210C_mRNA	YGR210C	853124	P42942			NP_011726.1	
